video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=pq4DdAqX3yg&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@tjltraining,TJL Training,Full Basketball Shooting Workout By Yourself,251K,2 years,https://www.youtube.com/watch?v=Irx9U026hZE Full Basketball Shooting Workout By Yourself. If you are looking to improve as a ...,2026-01-22 06:55:36.359756
/watch?v=MAvdDUUTLB4&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ILB,ILoveBasketballTV,Shoot STRAIGHT Every Time 🎯 This Workout Fixes Your Shooting Form,50K,2 months,Master your jump shot from the ground up with this complete beginner basketball shooting workout by Coach Meech. This video ...,2026-01-22 06:55:36.361844
/watch?v=LkkGPDSJfpk&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@PGC_Coaching,PGC Coaching,Basketball Shooting Drills That Build Better Habits | PGC Coaching Fundamentals,115K,1 year,Level up your team's shooting and decision-making with these basketball shooting drills from PGC Coaching. Designed to ...,2026-01-22 06:55:36.363856
/watch?v=oGzkPXlTvhI&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@94feetofgame,Phil Handy,The Ultimate Shooting Workout w/ 2x NBA Champ JR Smith,357K,1 year,"Phil Handy works with 2x NBA Champion JR “Swish” Smith in a high energy workout featuring catch and shoot scoring, footwork ...",2026-01-22 06:55:36.365278
/watch?v=ss10AxV3OzI&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@tjltraining,TJL Training,Improve Your Shooting By Yourself | Full Solo Basketball Shooting Workout,103K,3 years,https://www.youtube.com/watch?v=Irx9U026hZE Improve your shooting by yourself. If you are looking to become a better shooter ...,2026-01-22 06:55:36.367239
/watch?v=gX07sPg7tWo&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ThincPROBasketball,THINCPRO Basketball,TOP 5 Basketball SHOOTING Drills You Can Do At Home BY YOURSELF! (FULL SHOOTING WORKOUT INSIDE),60K,8 years,In this video we'll go over the top 5 basketball shooting drills you can do at home by yourself. These are great drills to practice ...,2026-01-22 06:55:36.374603
/shorts/Q9aFOiowuUQ,/@keithpoitierperformance,Keith Poitier Performance,GREAT BY YOURSELF SHOOTING WORKOUT #basketballtraining,161K,2 years,This is the ultimate buy yourself shooting workout is predicated on variability if you're only training spot up catch and shoot like ...,2026-01-22 06:55:36.377782
/watch?v=0feXGPKiAYs&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V00gcJCYcKAYcqIYzv,/@ShotMechanics,ShotMechanics,Basketball Shooting Drills For Kids: Beginners Shooting Drills,227K,8 years,Basketball Shooting Drills For Kids: Beginners Shooting Drills Download Arbit Here: http://apple.co/2mPW3SM Free Shooting ...,2026-01-22 06:55:36.380476
/shorts/jYI43FENsYE,/@tjltraining,TJL Training,One of The BEST Shooting Drills You Can Do By Yourself,10K,1 year,"Here is one of the best shooting drills you can do by yourself, it is simple but effective if you are trying to become a better shooter.",2026-01-22 06:55:36.386491
/watch?v=UcnB9e5O5NY&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ILB,ILoveBasketballTV,The Ultimate Guide for Shooting the Basketball [PERFECT SHOOTING FORM],1.5M,1 year,"In today's video, Coach Ryan Jones from ILB Elite shows you how to shoot a basketball better and obtain perfect shooting form!",2026-01-22 06:55:36.388579
/shorts/KuRJKyBGtUU,/@Hennen_Workouts,Hennen Workouts Basketball,3 ways to improve your shooting workouts to be more game like 🫡✅ #basketball #basketballdrills,49K,7 months,... enough in your shoot your shooting drills probably look more like a warm-up which is probably why you shoot better in warm-up ...,2026-01-22 06:55:36.389957
/watch?v=akSJjN8UIj0&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@BreakthroughBBall,BreakthroughBBall,5 Shooting Drills to Become a Better Basketball Player l Individual Shooting Workout,140K,2 years,Get your FREE PDF - 3 Individual Skill Workouts ...,2026-01-22 06:55:36.392466
/watch?v=dfbIAOXDPFk&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ShotMechanics,ShotMechanics,How to Shoot a Basketball | The Beginners Guide to ELITE Shooting 🎯,620K,2 years,"Today we take you back to gym class, we are learning how to shoot a basketball! In this beginner guide to shooting I will tell you ...",2026-01-22 06:55:36.399093
/shorts/lWB_2qKqskQ,/@DrDishBasketball,Dr. Dish Basketball,60 Minute Basketball Shooting Workout with Shane Hennen,187K,3 years,Full Workout Description: 1. One hand form shots (3 spots x 5 makes) 2. No Jump 2's (5 spots x 3 in a row before moving on) 3.,2026-01-22 06:55:36.401794
/watch?v=wAjN1qGpMdc&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ILB,ILoveBasketballTV,How To Shoot a Basketball PERFECTLY! 🏀 Be AUTOMATIC From Deep!,1.8M,4 years,"In today's video, Coach Ryan Razooky is showing you how to shoot a basketball with perfect accuracy! If you want to shoot a ...",2026-01-22 06:55:36.405654
/shorts/H6lBSQ1xWUg,/@HoopStudy,HoopStudy,THREE SHOOTING DRILLS to help you make tougher shots!!!!,593K,3 years,Interested in our Player's Academy? Player's Academy   ...,2026-01-22 06:55:43.827623
/shorts/sP13FTWyxCU,/@stephcurry,Stephen Curry,Stephen Curry's Shooting Drills #Basketball,99K,2 months,"You can watch the full workout video here: https://youtu.be/6mnujT_fzlY For more from Stephen Curry, be sure to check out his ...",2026-01-22 06:55:43.829891
/watch?v=x-nES0lQCGk&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ShotMechanics,ShotMechanics,Instantly Add INSANE Range | 3 Simple Basketball Shooting Hacks 🎯,147K,3 years,Today I show you 3 insanely simple shooting hacks that you can do to help extend your shooting range immediately! By using ...,2026-01-22 06:55:43.832020
/watch?v=jR0iJmStMPs&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ByAnyMeansBasketball,By Any Means Basketball,Become a Way More CONSISTENT Shooter with this Workout!,208K,2 years,"Let's be real: we'll never be 100% consistent as a shooter or player in general. In basketball and life in general, we have our ups ...",2026-01-22 06:55:43.835038
/watch?v=-7DVDwgqxyw&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ILB,ILoveBasketballTV,"Fix Your Jump Shot, Handles & Finishing in ONE Workout! (Basketball Drills That Actually Work)",28K,4 months,"Want a basketball workout that actually fixes your shot, tightens your handles, AND improves your finishing? You're in the right ...",2026-01-22 06:55:43.837313
/watch?v=qu4n-L5mwdk&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ByAnyMeansBasketball,By Any Means Basketball,The Ultimate By-Yourself Shooting Workout! What’s Your Score??,101K,3 years,"This is a convenient but challenging shooting workout you can do ANY TIME: in-season, off-season, by yourself, with a partner ...",2026-01-22 06:55:43.840845
/shorts/BLOuEnOYd4w,/@HIYFbasketball,HIYFBasketball,Basic dribbling & shooting workout #basketball #workout #training #tips,15K,2 months,... 20 minutes first drill we're going to do both hands we're raising the ball over our head pounding it as hard as we can into a shot ...,2026-01-22 06:55:43.842668
/shorts/7DLuEHmM4yE,/@keithpoitierperformance,Keith Poitier Performance,4 SHOOTING DRILLS THAT WILL FIX YOUR JUMPSHOT #basketballtraining,2.7M,2 years,Use these four shooting drills to fix your shot especially if you shoot like this number one if you're lacking fluidity in your shot give ...,2026-01-22 06:55:43.844264
/watch?v=7HUKLkAJRhc&t=137s&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V00gcJCYcKAYcqIYzv,/@ILB,ILoveBasketballTV,10 Drills That Will Fix ANY Jump Shot in 2026,14K,11 days,"Today's video features 10 basketball shooting drills, making it the perfect workout for basketball players looking to take their jump ...",2026-01-22 06:55:43.847766
/shorts/S5WwasMb7vw,/@tjltraining,TJL Training,ELITE Shooting Drill To Improve Your Accuracy 🎯 #basketball,224K,1 year,Elite shooting drill to improve the accuracy on your jump shot.,2026-01-22 06:55:43.849275
/watch?v=Az0xcx7VUl8&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ILB,ILoveBasketballTV,Warning: This 300-Shot Basketball Workout Exposes Your Weaknesses 😳,46K,8 months,Coach Meech from ILB Elite is helping you make more shots in basketball today with an insane shooting workout!,2026-01-22 06:55:43.852934
/watch?v=J6_-SaW_GUE&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@SAVI-Basketball,SAVI Basketball,How to Shoot the Basketball for Beginners,467K,3 years,Get the newsletter smart coaches read every week → https://ter.li/beehiivnewsletter If you're a youth basketball coach or working ...,2026-01-22 06:55:43.854254
/shorts/GIdH6hk_sNo,/@TreyDrechsel5,Trey Drechsel,Simple Form Shooting for Before Your Workouts (from a pro hooper),17K,1 month,Do this simple form shooting drill before your workouts from a current six-year pro basketball player you guys might laugh ...,2026-01-22 06:55:43.855744
/watch?v=8YMn6uNG9MQ&pp=ygUbYmFza2V0YmFsbCBzaG9vdGluZyB3b3Jrb3V0,/@ILB,ILoveBasketballTV,Pro Trainer's BEST SHOOTING Workout! Ryan Razooky Reveals Elite Shooting Workout! 😱,105K,4 years,"In today's video, Coach Ryan Razooky, aka R2bball walks you through his favorite shooting workout! If you're looking for a ...",2026-01-22 06:55:43.858875
